date,risk_pct,mean_pm25,median_pm25,p90_pm25,Wildfire_count,Wildfire_acres,transport_ready_acres,raw_Wildfire_influence,wind_from_deg,wind_speed_kmh,smoke_transport_score,smoke_transport_score_5day
2025-10-02,8.918406072106261,40.4920002130115,2.1886170034988695,12.989214378405991,33.0,22107.564144001484,1361.6238605417675,680.8119302708837,235.7300545357837,6.402083333333334,600.0973183388444,203.02666699000142
2025-10-03,9.108159392789373,41.129111822569655,3.2758208673411273,25.76937854942215,16.0,723.8092466600001,1.3421472010409505,0.8346477906473411,269.3084737373891,9.328125,634.9729096123767,328.2988530027996
2025-10-04,9.67741935483871,43.769352123249604,5.822887047278413,25.650923565716784,6.0,35.71548593493641,1.3268107185962452,1.3651408060223593,273.18604091963493,15.433333333333334,403.2141203423612,408.3930315719912
2025-10-05,8.349146110056926,40.38141473296462,5.843828400929464,19.258908342676257,3.0,20233.098171696518,1982.1728629962943,1226.8824116587482,287.0526921182242,9.284375,320.92294142229105,456.9211931837889
2025-10-06,8.349146110056926,37.94832519093696,4.13670564599144,12.773843200790175,64.0,156622.81327729704,24569.027493375102,12284.513746687551,114.30664050366704,4.542708333333334,2272.662377883631,846.3739335199037
2025-10-07,8.538899430740038,40.89607742660939,4.786697924259066,10.567023879577189,39.0,26060.045579000438,6.139046012728066,3.069523006364033,116.05140055732676,6.851041666666666,4668.377991450426,1660.0300681422202
2025-10-08,8.72865275142315,40.39992421730183,4.207414163585606,11.4417379461428,18.0,2816.4202948829998,37.323721067838456,22.754510226010677,131.0081817996736,9.144791666666666,3935.218115924144,2320.0791094045735
2025-10-09,8.72865275142315,40.424503356927815,3.45652149118446,11.497687983581356,45.0,5024.848954184892,369.494332234811,192.1883714193565,109.31994166376506,7.802083333333333,2494.6159405314265,2738.3594734423864
2025-10-10,8.538899430740038,37.9137711926549,3.62224012782834,9.425697572777134,33.0,1151.1401750291905,51.466480449969005,43.37480602366832,149.88872551312193,12.641666666666666,81.21240856940102,2690.4173668718086
2025-10-11,8.159392789373813,37.27491181209509,2.4413288187261353,8.482026215218662,2.0,0.44,0.08651488686462358,0.08742209158105124,244.15598421244107,15.157291666666667,77.40170889303016,2251.3652330736886
2025-10-12,8.918406072106261,41.53114536665769,1.2,4.708547754279762,15.0,328.9071417867874,0.03374854336821971,0.028449553329640213,211.5379433905524,12.644791666666666,51.48498125602461,1327.9866310348082
2025-10-13,8.72865275142315,43.88263567657542,2.011311355383536,8.38342707702566,2.0,454.19,0.0010121714095952116,0.00055050878332984,55.34074303958357,8.158333333333333,8.711227752190853,542.6852534004175
2025-10-14,9.108159392789373,44.62943840344407,3.4186994242054656,14.679114915748572,26.0,363.74143342871497,1.7700363285842808,0.8850181642921404,315.95370968161086,6.246874999999999,0.15896468703308883,43.793858231538856
2025-10-15,9.297912713472485,45.56016423879109,5.520030794604837,18.57074933816238,33.0,3267.4750831995757,75.77456586349057,37.88728293174528,310.9602461882356,5.390625,5.9987038605649685,28.751117289771646
2025-10-16,9.297912713472485,48.47320510443713,6.6670074131702615,21.286251606099956,17.0,1110.0094422763505,6.516189905273243,4.665863480088362,252.059256397486,10.740625,14.226044099168412,16.115984330999297
2025-10-17,9.297912713472485,47.56101178524356,7.830073889414993,15.143449481386758,46.0,23044.281096845352,5080.312880706099,4113.9950348551265,224.20968594710112,12.146875,630.2754959586817,131.87408727153073
2025-10-18,9.297912713472485,41.46767414507428,4.5,11.11056943365157,3.0,166.02833935965637,6.361006382842067,3.724722626397521,237.7636095556943,8.783333333333333,1449.4341862236292,420.0186789658184
2025-10-19,9.297912713472485,42.258679179373196,4.49560161542611,11.027248793648226,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-10-20,8.918406072106261,45.49887898318944,1.6963354049313981,8.063698965889644,62.0,20285.642690384,6164.355694325105,4426.777932987216,233.7423497353072,10.771875,1900.452026019877,800.0772912323871
2025-10-21,9.108159392789373,47.61214453321337,3.1706469964088106,15.808636251144579,96.0,12068.733261235373,244.47003800088112,122.23501900044056,106.72519249705084,5.275,2391.623953154536,1277.2023410911813
2025-10-22,9.297912713472485,49.48565512088345,5.172775540041883,23.56636460302606,22.0,1440.116779,10.933403793640958,5.466701896820479,102.9670219631115,6.332291666666666,1372.3805863561217,1548.833249542572
2025-10-23,9.297912713472485,49.8375546291302,8.128103058124506,25.89030292337884,16.0,21555.23559039785,215.00431467059826,107.50215733529913,233.355397460802,6.65,940.0647615617576,1610.791102663187
2025-10-24,9.297912713472485,48.21630548797774,7.2004339399291855,30.26494604622427,10.0,99.79196980924216,0.002080304428691269,0.0013883142749807704,147.81044023526107,10.010416666666666,63.71297768363019,1333.6468609551873
2025-10-25,10.815939278937382,49.465605662424906,4.142906649615931,45.63643191666502,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-10-26,10.246679316888045,46.65899293121365,1.4876835167560065,39.06596244529101,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-10-27,10.056925996204933,46.718926372458476,1.587049696966892,35.62806163092575,14.0,2538.11958415,64.03152616252606,56.11651806743603,252.4952507661781,13.145833333333334,41.76195120006548,961.9088459912251
2025-10-28,10.815939278937382,52.31449975268132,3.511623454450023,50.651860590732305,46.0,4218.393604593375,169.43370753759066,104.00170423088638,131.65758401920556,9.207291666666666,56.74188491957789,494.9324323442335
2025-10-29,10.815939278937382,51.46324293038688,4.010152059644917,50.159465615850365,33.0,6643.188901555804,101.88066750454567,57.52720190829588,138.2917393149856,8.469791666666666,61.86490985014042,232.82929704303723
